Food_ID,Food name and Description,Scientific name,Alternate/Common name(s),Edible portion,Option
R005,"Steamed bun, pork filling",N/A,"Siopao, baboy",100%,Data Image
R006,Glutinous rice w/ mung bean & cocomilk,N/A,Ginataang munggo,100%,Data Image
R007,Hamburger sandwich w/ coleslaw,N/A,N/A,100%,Data Image
R008,"Hamburger sandwich, reg",N/A,N/A,100%,Data Image
R009,Meat pie,N/A,Empanada,100%,Data Image
R010,Meat roll,N/A,Mechado roll,100%,Data Image
R011,Rice gruel w/ chicken,N/A,Arroz caldo,100%,Data Image
R012,Rice gruel w/ choc & milk,N/A,"Champorado, may gatas",100%,Data Image
R013,Rice gruel w/ tripe,N/A,"Lugaw, may goto",100%,Data Image
R014,"Spaghetti, meat balls & tomato sce, cnd",N/A,N/A,100%,Data Image
R015,"Spaghetti, Vienna sausage & tomato sce, cnd",N/A,N/A,100%,Data Image
R016,Buko pie,N/A,N/A,100%,Data Image
R017,Egg pie,N/A,N/A,100%,Data Image
R018,"Halu-halo, cnd",N/A,N/A,100%,Data Image
R019,"Halu-halo, w/ ice",N/A,N/A,100%,Data Image
R020,Pineapple pie,N/A,N/A,100%,Data Image
R021,Pizza pie,N/A,N/A,100%,Data Image
R022,"Milk fish, w/ black beans, cnd",N/A,"Bangus may tawsi, de lata",94%,Data Image
R023,"Spring roll, crab, unckd",N/A,"Lumpia, alimango, hindi luto",100%,Data Image
R024,"Spring roll, fish, unckd",N/A,"Lumpia, isda, hindi luto",100%,Data Image
R025,"Spring roll, shrimp, unckd",N/A,"Lumpia, hipon, hindi luto",100%,Data Image
R026,"Beef & tomato spread, cnd",N/A,N/A,100%,Data Image
R027,"Beef caldereta, cnd",N/A,N/A,95%,Data Image
R028,"Beef callos, cnd",N/A,N/A,100%,Data Image
R029,"Beef curry, cnd",N/A,N/A,100%,Data Image
R030,"Beef hamburger w/ tomato sce, cnd",N/A,N/A,100%,Data Image
R031,"Beef kare-kare, cnd",N/A,N/A,-,Data Image
R032,"Beef roll, mechado, cnd",N/A,N/A,100%,Data Image
R033,"Beef roll, morcon, cnd",N/A,N/A,100%,Data Image
R034,"Beef steak, cnd",N/A,N/A,100%,Data Image
R035,"Beef stew, cnd",N/A,N/A,100%,Data Image
R036,"Beef w/ gravy, cnd",N/A,N/A,100%,Data Image
R037,"Beef w/ mushroom sce, cnd",N/A,N/A,100%,Data Image
R038,"Beef w/chickpeas, cnd",N/A,N/A,100%,Data Image
R039,"Beef, chili con carne, cnd",N/A,N/A,100%,Data Image
R040,"Chicken stew, cnd",N/A,N/A,-,Data Image
R041,"Corned beef hash, cnd",N/A,N/A,100%,Data Image
R042,"Duck meat, pato tim, cnd",N/A,"Pato tim, de lata",100%,Data Image
R045,"Meat ball & quail egg, sw & sr sce, cnd",N/A,N/A,100%,Data Image
R047,"Pork & chicken adobo, cnd",N/A,N/A,100%,Data Image
R050,"Pork adobo, cnd",N/A,N/A,100%,Data Image
R051,"Pork adobo, w/ egg, cnd",N/A,N/A,-,Data Image
R052,"Pork afritada, cnd",N/A,"Apritadang baboy, de lata",100%,Data Image
R053,"Pork blood stew, cnd",N/A,"Dinuguan baboy, de lata",-,Data Image
R054,"Pork humba, cnd",N/A,N/A,100%,Data Image
R055,"Pork leg w/ mushroom sce, cnd",N/A,N/A,89%,Data Image
R056,"Pork leg, mushroom & chestnut, cnd",N/A,N/A,-,Data Image
R057,"Pork leg, pinaksiw, cnd",N/A,N/A,88%,Data Image
R058,"Pork pastel, cnd",N/A,N/A,100%,Data Image
R059,"Pork w/ black beans, cnd",N/A,"Baboy may tawsi, de lata",100%,Data Image
R060,"Pork, roasted, pinaksiw, cnd",N/A,"Lechon paksiw, de lata",-,Data Image
R061,"Roast beef hash, cnd",N/A,N/A,100%,Data Image
R062,"Spring roll, beef, unckd",N/A,"Lumpia, baka, hindi luto",100%,Data Image
R063,"Spring roll, chicken, unckd",N/A,"Lumpia, manok, hindi luto",100%,Data Image
R064,"Spring roll, Shanghai, unckd",N/A,"Lumpia, Shanghai, hindi luto",100%,Data Image
R065,"Chicken noodle broth, inst",N/A,N/A,100%,Data Image
R066,"Soup, beans w/ bacon, cond, cnd",N/A,N/A,100%,Data Image
R067,"Soup, beef & veg, cnd",N/A,N/A,100%,Data Image
R068,"Soup, bird's nest (nido), cond, cnd",N/A,N/A,100%,Data Image
R069,"Soup, chicken & asparagus, cnd",N/A,N/A,100%,Data Image
R070,"Soup, chicken & veg, cnd",N/A,N/A,100%,Data Image
R071,"Soup, chicken & veg, cond, cnd",N/A,N/A,100%,Data Image
R072,"Soup, chicken noodle, cnd",N/A,N/A,100%,Data Image
R073,"Soup, corn potage, cond, cnd",N/A,N/A,100%,Data Image
R074,"Soup, cream of asparagus, cond, cnd",N/A,N/A,100%,Data Image
R075,"Soup, cream of chicken, cond, cnd",N/A,N/A,100%,Data Image
R076,"Soup, cream of mushroom, cnd",N/A,N/A,100%,Data Image
R077,"Soup, mungbean w/ shrimp, ckd",N/A,N/A,100%,Data Image
R078,"Soup, noodles & beef, cond, cnd",N/A,N/A,100%,Data Image
R079,"Soup, pansit molo, cond, cnd",N/A,N/A,100%,Data Image
R081,"Soup, sotanghon, cond",N/A,N/A,100%,Data Image
R082,"Soup, turkey noodle, cnd",N/A,N/A,100%,Data Image
R083,"Soup, veg alphabet, cnd",N/A,N/A,100%,Data Image
R084,"Soup, veg, cond, cnd",N/A,N/A,100%,Data Image
R085,"Soup, vermicelli & chicken, cond, cnd",N/A,N/A,100%,Data Image
R086,"Pork & beans, cnd",N/A,N/A,100%,Data Image
R088,"Hotcake, prep, w/ MLP",N/A,N/A,100%,Data Image
R089,"Polvoron, prep, w/ MLP",N/A,N/A,100%,Data Image
R090,"Gelatin drink, w/ MLP",N/A,Jello almond w/ MLP,100%,Data Image
R091,"Ice candy, prep, w/ MLP",N/A,Frozen refreshment w/ MLP,100%,Data Image
R092,"Yacon shake, prep",N/A,Yacon cooler,100%,Data Image
R093,"Carbonara, prep, w/ MLP",N/A,N/A,100%,Data Image
R094,"Fruit salad, prep, w/ yacon",N/A,Yacon salad twister,100%,Data Image
R095,"Macaroni salad, prep, w/ yacon",N/A,Yacon macaroni salad,100%,Data Image
R096,"Waldorf salad, prep, w/ yacon",N/A,"Yacon, waldorf salad",100%,Data Image
R097,"Anchovy fry omelet, prep, w/ MLP",N/A,Dulong omelet w/ MLP,100%,Data Image
R098,"Red snapper fritata, prep, w/ MLP",N/A,Maya-maya torta w/ MLP,100%,Data Image
R099,"Chopsuey, prep, w/ yacon",N/A,Yacon chopsuey,100%,Data Image
R100,"Wonton soup, prep, w/ MLP",N/A,"Pancit molo, w/ MLP",100%,Data Image
R101,"Pork wonton, prep, w/ MLP",N/A,Siomai w/ MLP,100%,Data Image
R102,"Scrambled egg, prep, w/ MLP",N/A,N/A,100%,Data Image
R103,"Shanghai pork roll, prep, w/ yacon",N/A,Yacon lumpiang shanghai,100%,Data Image
R104,"Fried rice mix, w/ yacon",N/A,Yacon-rice medley,100%,Data Image
R105,"Vegetable stir-fry w/ quail eggs, prep, w/ yacon",N/A,Yacon w/ quail eggs,100%,Data Image
R106,"Vegetable soup, prep, w/ yacon",N/A,Yacon-veggie summer vegetable soup,100%,Data Image
R107,"Vegetable spring roll, fresh, w/ yacon",N/A,Yacon lumpiang sariwa,100%,Data Image
R108,"Pork ball, wrapped",N/A,Pork wonton/Pork siomai,100%,Data Image
S001,"Beef w/ veg, str",N/A,N/A,100%,Data Image
S002,"Beef, egg noodle, veg, str",N/A,N/A,100%,Data Image
S003,"Carrot, str",N/A,N/A,100%,Data Image
S004,"Cereals, applesce & banana, str",N/A,N/A,100%,Data Image
S005,"Chicken noodle, str",N/A,N/A,100%,Data Image
S006,"Chicken w/ veg, str",N/A,N/A,100%,Data Image
S007,"Chicken, asparagus, str",N/A,N/A,100%,Data Image
S008,"Cream chicken soup, str",N/A,N/A,100%,Data Image
S009,"Custard pudding, choco, str",N/A,N/A,100%,Data Image
S010,"Custard pudding, vanilla, str",N/A,N/A,100%,Data Image
S011,"Fruit w/ tapioca, str",N/A,N/A,100%,Data Image
S013,"Mango & papaya, str",N/A,N/A,100%,Data Image
S014,"Mango, str",N/A,N/A,100%,Data Image
S015,"Mixed fruits, str",N/A,N/A,100%,Data Image
S016,"Mixed veg, str",N/A,N/A,100%,Data Image
S017,"Peach, str",N/A,N/A,100%,Data Image
S018,"Rice w/ chicken, str",N/A,N/A,100%,Data Image
S019,"Squash, str",N/A,N/A,100%,Data Image
S021,"Veg, liver & bacon, str",N/A,N/A,100%,Data Image
T001,Azolla pinnata,N/A,N/A,100%,Data Image
T002,Baking powder,N/A,N/A,100%,Data Image
T004,Ceylon moss/Agar-agar bar,N/A,Gulaman,100%,Data Image
T005,"Coffee creamer, non-dairy",N/A,N/A,100%,Data Image
T006,Chlorella,Chlorella pyrenoidosa,N/A,100%,Data Image
T007,Gelatin powder,N/A,N/A,100%,Data Image
T008,Rice washing,N/A,Hugas-bigas,100%,Data Image
T009,"Yeast, baker's, active, dry",N/A,"Lebadura, baker's, tuyo",100%,Data Image
M015,"Coconut meat, grated, sweetn",N/A,Bukayo,100%,Data Image
D304,Ginger,Zingiber officinale,Luya,74%,Data Image
D305,Turmeric,Curcuma longa L.,Luyang dilaw,71%,Data Image
H023,"Egg mass, sea hare",Dolabella auricularia,Lukot,100%,Data Image
Q062,"Tea, prep w/ water, no sugar",N/A,N/A,100%,Data Image
T012,Locust,Locusta migratoria manilensis,Balang,81%,Data Image
