Food_ID,Food name and Description,Scientific name,Alternate/Common name(s),Edible portion,Option
G151,"Anchovy, long-jawed, dried, ground",N/A,"Dilis, giniling",100%,Data Image
G152,"Fusilier, goldband, dried",N/A,"Dalagang bukid, daing",66%,Data Image
G153,"Catfish, freshwater, dried",N/A,"Hito, daing",65%,Data Image
G154,"Catfish, saltwater, dried",N/A,"Kanduli, daing",56%,Data Image
G155,"Cavalla, banded, dried",N/A,"Talakitok/Maliputo, daing",65%,Data Image
G156,"Cod, dried",N/A,"Bakalaw, daing",73%,Data Image
G157,"Crab, mud/mangrove, meat, cnd",N/A,"Alimango laman, de lata",100%,Data Image
G158,"Crevalle, deep-bellied, dried",N/A,"Salay-salay aso, daing",46%,Data Image
G159,"Croaker, plain, dried",N/A,"Alakaak, daing",59%,Data Image
G160,"Eel, swamp, dried",N/A,"Palos, daing",82%,Data Image
G161,Fish ball,N/A,N/A,100%,Data Image
G162,"Fish ball, fried",N/A,N/A,100%,Data Image
G163,"Fish preparation, quekiam",N/A,Kikyam,100%,Data Image
G164,"Flatfish/Brill, rough-scaled, dried",N/A,"Dapa, tuyo",74%,Data Image
G165,"Flatfish/Brill, rough-scaled, dried",N/A,"Dapa, daing",83%,Data Image
G166,"Gizzard shad, short-finned, dried",N/A,"Kabasi, daing",47%,Data Image
G167,"Gizzard shad, short-finned, smoked",N/A,"Kabasi, tinapa",53%,Data Image
G168,"Goby, flat-headed, dried",N/A,"Biyang puti, daing",68%,Data Image
G169,"Sinarapan, dried",N/A,"Tabyos, tuyo",100%,Data Image
G170,"Grouper, whitespotted, dried",N/A,"Lapu-lapu, daing",52%,Data Image
G171,"Hard-tail, dried",N/A,"Oriles, daing",67%,Data Image
G172,"Jellyfish, dried",N/A,"Dikya, tuyo",100%,Data Image
G173,"Lizard fish, common, dried",N/A,"Kalaso, daing",78%,Data Image
G174,"Mackerel scad, in tomato sce, cnd",N/A,"Bakutut, sa tomato sce, de lata",100%,Data Image
G175,"Mackerel, short-bodied, dried",N/A,"Hasa-hasa, tuyo",66%,Data Image
G176,"Mackerel, short-bodied, smoked",N/A,"Hasa-hasa, tinapa",59%,Data Image
G177,"Mackerel, Spanish, dried",N/A,"Tangigi, daing",96%,Data Image
G178,"Mackerel, Indian, dried",N/A,"Alumahan, daing",62%,Data Image
G179,"Mackerel, Indian, in tomato sce",N/A,"Alumahan, sa tomato sce",100%,Data Image
G180,"Milkfish, dried",N/A,"Bangus, daing",84%,Data Image
G181,"Milkfish, in natural oil, cnd",N/A,"Bangus, salmon style, de lata",100%,Data Image
G182,"Milkfish, in spiced oil, cnd",N/A,"Bangus, Spanish style, de lata",100%,Data Image
G183,"Milkfish, smoked",N/A,"Bangus, tinapa",65%,Data Image
G184,"Mudfish/Murrel, striated, dried",N/A,"Dalag, daing",67%,Data Image
G185,"Mullet, black-finned, dried",N/A,"Talilong, daing",51%,Data Image
G186,"Mullet, large-scaled, dried",N/A,"Banak, daing",67%,Data Image
G187,"Bream, doublewhip threadfin, dried",N/A,"Bisugo, daing",54%,Data Image
G188,"Oyster, dried",N/A,"Talaba, tuyo",100%,Data Image
G189,"Parrot fish, daisy, dried",N/A,"Isdang loro, daing",51%,Data Image
G190,"Emperor, pink ear, dried",N/A,"Bitilla, tuyo",30%,Data Image
G191,"Seabream, goldsilk, dried",N/A,"Bakokong moro, daing",46%,Data Image
G192,"Red snapper/Malabar, dried",N/A,"Maya-maya, daing",73%,Data Image
G193,"Runner, rainbow, in oil, cnd",N/A,"Salmon, sa mantika, de lata",100%,Data Image
G194,"Sardine, bombon, dried",N/A,"Tawilis, tuyo",48%,Data Image
G195,"Sardine, bombon, smoked",N/A,"Tawilis, tinapa",55%,Data Image
G196,"Sardine, fimbriated, fry, dried",N/A,"Silinyasi, tuyo",57%,Data Image
G197,"Sardine, fimbriated, fry, dried",N/A,"Silinyasi, daing",60%,Data Image
G198,"Sardine, fimbriated, smoked",N/A,"Tabagak, tinapa",58%,Data Image
G199,"Sardine, Indian, dried",N/A,"Tamban, daing",77%,Data Image
G200,"Sardine, Indian, dried",N/A,"Tamban, tuyo",54%,Data Image
G201,"Sardine, Indian, smoked",N/A,"Tamban, tinapa",60%,Data Image
G202,"Sardines, in spiced oil, cnd",N/A,"Sardinas, Spanish style, de lata",100%,Data Image
G203,"Sardines, in tomato sce, cnd",N/A,"Sardinas, sa tomato sce, de lata",100%,Data Image
G204,"Sardines, smoked, cnd",N/A,"Sardinas, tinapa, de lata",100%,Data Image
G205,"Scad, big-eye, dried",N/A,"Matang baka, daing",58%,Data Image
G206,"Scad, big-eye, smoked",N/A,"Matang baka, tinapa",66%,Data Image
G207,"Scad, round, dried",N/A,"Galunggong, daing",61%,Data Image
G208,"Scad, round, smoked",N/A,"Galunggong, tinapa",70%,Data Image
G209,"Sea bass, dried",N/A,"Apahap, daing",55%,Data Image
G210,"Shrimp, freshwater (small), dried",N/A,"Tagunton, tuyo",100%,Data Image
G211,"Shrimp, sergestid, dried",N/A,"Alamang, tuyo",100%,Data Image
G212,"Shrimp, small marine, dried",N/A,Hibe,100%,Data Image
G213,"Siganid, javan, dried",N/A,"Samaral, daing",57%,Data Image
G215,"Slipmouth, common, dried",N/A,"Sapsap, daing",51%,Data Image
G216,"Slipmouth, common, dried",N/A,"Sapsap, tuyo",43%,Data Image
G217,"Squid, dried",N/A,"Pusit, tuyo",98%,Data Image
G218,"Sting ray, honeycomb, dried",N/A,"Paging, bulik, daing",-,Data Image
G219,"Surgeonfish, blue-lined, dried",N/A,"Labahita, daing",73%,Data Image
G220,"Swordfish, dried",N/A,"Malasugi, daing",90%,Data Image
G221,"Theraponid, silvery, dried",N/A,"Ayungin, tuyo",64%,Data Image
G222,"Tilapia, dried",N/A,N/A,46%,Data Image
G223,"Tuna adobo, cnd",N/A,N/A,100%,Data Image
G224,"Tuna fillet, in soya oil, cnd",N/A,N/A,-,Data Image
G225,"Tuna fillet, in veg oil, cnd",N/A,N/A,100%,Data Image
G226,"Tuna flakes, in brine, cnd",N/A,N/A,100%,Data Image
G227,"Tuna flakes, in veg oil, cnd",N/A,N/A,100%,Data Image
G228,"Tuna mechado, cnd",N/A,N/A,100%,Data Image
G229,"Tuna sardines, in oil, cnd",N/A,N/A,-,Data Image
G230,"Tuna spread, cnd",N/A,N/A,100%,Data Image
G231,"Tuna, frigate, dried",N/A,"Tulingan, daing",81%,Data Image
G232,"Tuna, yellow-fin, dried",N/A,"Tambakol, daing",94%,Data Image
H001,"Egg, ant",N/A,"Itlog, langgam",100%,Data Image
H002,"Egg, chicken, white",N/A,"Itlog, manok, puti",100%,Data Image
H003,"Egg, chicken, whole",N/A,"Itlog, manok, buo",87%,Data Image
H004,"Egg, chicken, whole, boiled",N/A,"Itlog, manok, buo, nilaga",89%,Data Image
H005,"Egg, chicken, yolk",N/A,"Itlog, manok, pula",100%,Data Image
H006,"Egg, duck, white",N/A,"Itlog, pato, puti",100%,Data Image
H007,"Egg, duck, whole",N/A,"Itlog, pato, buo",87%,Data Image
H008,"Egg, duck, yolk",N/A,"Itlog, pato, pula",100%,Data Image
H010,"Egg, quail",N/A,"Itlog, pugo",85%,Data Image
H011,"Egg, quail, boiled",N/A,"Itlog, pugo, nilaga",88%,Data Image
H015,"Egg, duck, century",N/A,Century egg/Pidan,77%,Data Image
H016,"Egg, duck, fertilized, boiled",N/A,"Balut, nilaga",74%,Data Image
H017,"Egg, duck, fertilized, embryo",N/A,"Balut, sisiw",100%,Data Image
H018,"Egg, duck, fertilized, white",N/A,"Balut, bato",100%,Data Image
H019,"Egg, duck, fertilized, yolk",N/A,"Balut, pula",100%,Data Image
H020,"Egg, duck, infertile, boiled",N/A,"Penoy, nilaga",84%,Data Image
H021,"Egg, duck, whole, salted",N/A,"Itlog, pato, maalat",83%,Data Image
H022,"Egg, quail, pickled",N/A,"Itlog, pugo, pickled",100%,Data Image
J001,"Cheese, cheddar, pasteurized, processed",N/A,N/A,100%,Data Image
J002,"Cheese, cottage",N/A,N/A,100%,Data Image
J003,"Cheese, filled",N/A,N/A,100%,Data Image
J004,"Cheese, native",N/A,Kesong puti,100%,Data Image
J005,"Cheese, pimiento",N/A,N/A,100%,Data Image
J006,"Cheese, spread",N/A,N/A,100%,Data Image
J007,Cream,N/A,Krema,100%,Data Image
J008,Ice cream,N/A,Sorbetes/Street ice cream,100%,Data Image
J009,"Ice cream, strawberry flvr",N/A,"Sorbetes, lasang strawberry",100%,Data Image
J010,"Milk drink, cultured",N/A,N/A,100%,Data Image
J011,"Milk drink, recon, strawberry, UHT",N/A,N/A,100%,Data Image
J012,"Milk, buttermilk",N/A,"Gatas, buttermilk",100%,Data Image
J013,"Milk, carabao",N/A,"Gatas, kalabaw",100%,Data Image
J014,"Milk, cow",N/A,"Gatas, baka",100%,Data Image
J015,"Milk, evaporated",N/A,"Gatas, evaporada",100%,Data Image
J016,"Milk, evaporated, filled",N/A,"Gatas, evaporada, filled",100%,Data Image
J017,"Milk, goat",N/A,"Gatas, kambing",100%,Data Image
J018,"Milk, human",N/A,Gatas ng ina/Breast milk,100%,Data Image
J019,"Milk, pwdr, filled, inst",N/A,"Gatas, pulbos, filled, inst",100%,Data Image
J020,"Milk, pwdr, full cream",N/A,"Gatas, pulbos, full cream",100%,Data Image
J021,"Milk, pwdr, infant formula",N/A,"Gatas, pulbos, infant formula",100%,Data Image
